Ma  Re300_20  Re300_40  Re600_20  Re600_40  Kn300_20  Kn300_40  Kn600_20  Kn600_40
0 0 0 0 0 0.00221711 0.00110856 0.00512649 0.00256325
0.0353535 24.2173 48.4347 10.4732 20.9464 0.00221832 0.00110916 0.00512946 0.00256473
0.0707071 48.3555 96.7111 20.9101 41.8202 0.00222196 0.00111098 0.00513837 0.00256919
0.106061 72.3361 144.672 31.2746 62.5493 0.00222801 0.00111401 0.00515324 0.00257662
0.141414 96.082 192.164 41.5315 83.0629 0.0022365 0.00111825 0.00517409 0.00258705
0.176768 119.518 239.036 51.6462 103.292 0.00224744 0.00112372 0.00520095 0.00260048
0.212121 142.572 285.144 61.5856 123.171 0.00226084 0.00113042 0.00523387 0.00261694
0.247475 165.174 330.348 71.3181 142.636 0.00227671 0.00113835 0.0052729 0.00263645
0.282828 187.26 374.519 80.8137 161.627 0.00229508 0.00114754 0.0053181 0.00265905
0.318182 208.767 417.533 90.0445 180.089 0.00231597 0.00115799 0.00536953 0.00268477
0.353535 229.639 459.278 98.9848 197.97 0.00233941 0.0011697 0.00542729 0.00271365
0.388889 249.824 499.649 107.611 215.222 0.00236543 0.00118271 0.00549145 0.00274573
0.424242 269.277 538.553 115.902 231.805 0.00239405 0.00119703 0.00556212 0.00278106
0.459596 287.955 575.91 123.84 247.68 0.00242533 0.00121266 0.00563941 0.0028197
0.494949 305.824 611.647 131.409 262.817 0.00245928 0.00122964 0.00572342 0.00286171
0.530303 322.853 645.705 138.595 277.19 0.00249596 0.00124798 0.00581428 0.00290714
0.565657 339.018 678.036 145.388 290.775 0.00253541 0.00126771 0.00591213 0.00295606
0.60101 354.3 708.601 151.779 303.559 0.00257768 0.00128884 0.0060171 0.00300855
0.636364 368.687 737.374 157.764 315.529 0.00262281 0.0013114 0.00612935 0.00306468
0.671717 382.169 764.338 163.34 326.679 0.00267085 0.00133543 0.00624904 0.00312452
0.707071 394.744 789.487 168.504 337.008 0.00272186 0.00136093 0.00637633 0.00318817
0.742424 406.412 812.825 173.259 346.518 0.0027759 0.00138795 0.0065114 0.0032557
0.777778 417.181 834.362 177.608 355.217 0.00283302 0.00141651 0.00665443 0.00332721
0.813131 427.059 854.119 181.557 363.114 0.00289328 0.00144664 0.0068056 0.0034028
0.848485 436.061 872.123 185.112 370.223 0.00295675 0.00147838 0.00696513 0.00348256
0.883838 444.204 888.408 188.281 376.562 0.00302349 0.00151175 0.0071332 0.0035666
